Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Solar Irradiance (W/m²),Wind Power (MW),Solar Power (MW),Thermal Power (MW),
01/04/24 4:00,15.87,66.99,4.22,866.03,0.19,8.66,200.00,
01/04/24 5:00,12.01,89.31,7.87,965.93,1.22,9.66,230.00,
01/04/24 6:00,15.92,26.35,8.96,1000.00,1.80,10.00,200.00,
01/04/24 7:00,-4.88,66.71,7.88,965.93,1.22,9.66,170.00,
01/04/24 8:00,12.80,39.84,7.98,866.03,1.27,8.66,200.00,
01/04/24 9:00,18.57,64.81,4.88,707.11,0.29,7.07,170.00,
01/04/24 10:00,29.78,62.53,8.15,500.00,1.35,5.00,200.00,
01/04/24 11:00,9.82,30.74,6.29,258.82,0.62,2.59,230.00,
01/04/24 12:00,6.92,34.47,7.02,0.00,0.87,0.00,200.00,
01/04/24 13:00,9.98,63.51,6.73,0.00,0.76,0.00,230.00,
01/04/24 14:00,24.15,28.98,5.76,0.00,0.48,0.00,200.00,
01/04/24 15:00,18.29,38.56,4.28,0.00,0.20,0.00,230.00,
01/04/24 16:00,9.70,78.47,5.84,0.00,0.50,0.00,200.00,
01/04/24 17:00,20.13,42.90,7.97,0.00,1.27,0.00,230.00,
01/04/24 18:00,15.97,54.16,5.12,0.00,0.33,0.00,200.00,
01/04/24 19:00,24.69,85.88,7.79,0.00,1.18,0.00,230.00,
01/04/24 20:00,7.98,35.90,7.47,0.00,1.04,0.00,200.00,
01/04/24 21:00,11.72,47.27,5.40,0.00,0.39,0.00,170.00,
01/04/24 22:00,11.08,62.45,8.78,0.00,1.69,0.00,140.00,
01/04/24 23:00,0.36,72.87,5.29,0.00,0.37,0.00,170.00,
01/05/24 0:00,17.96,83.12,9.02,0.00,1.83,0.00,200.00,
01/05/24 1:00,17.61,84.08,6.87,258.82,0.81,2.59,170.00,
01/05/24 2:00,15.05,74.36,5.97,500.00,0.53,5.00,200.00,
01/05/24 3:00,12.65,35.98,4.22,707.11,0.19,7.07,230.00,
01/05/24 4:00,0.85,21.74,5.82,866.03,0.49,8.66,200.00,
01/05/24 5:00,10.79,46.86,5.59,965.93,0.44,9.66,170.00,
01/05/24 6:00,11.57,29.91,3.48,1000.00,0.11,10.00,200.00,
01/05/24 7:00,6.98,69.73,5.56,965.93,0.43,9.66,170.00,
01/05/24 8:00,13.39,66.28,4.39,866.03,0.21,8.66,200.00,
01/05/24 9:00,19.04,23.08,7.17,707.11,0.92,7.07,170.00,
01/05/24 10:00,33.86,78.56,8.61,500.00,1.60,5.00,200.00,
01/05/24 11:00,16.75,37.41,3.55,258.82,0.11,2.59,230.00,
01/05/24 12:00,17.58,50.26,9.42,0.00,2.09,0.00,200.00,
01/05/24 13:00,14.26,66.76,5.74,0.00,0.47,0.00,230.00,
01/05/24 14:00,-4.19,50.06,4.05,0.00,0.17,0.00,200.00,
01/05/24 15:00,14.73,50.89,7.52,0.00,1.06,0.00,170.00,
01/05/24 16:00,15.60,24.59,5.11,0.00,0.33,0.00,200.00,
01/05/24 17:00,39.63,48.10,5.84,0.00,0.50,0.00,230.00,
01/05/24 18:00,13.08,73.54,5.19,0.00,0.35,0.00,200.00,
01/05/24 19:00,18.02,84.06,4.37,0.00,0.21,0.00,170.00,
01/05/24 20:00,14.65,48.94,7.45,0.00,1.03,0.00,200.00,
01/05/24 21:00,3.31,49.65,5.43,0.00,0.40,0.00,170.00,
01/05/24 22:00,26.43,69.18,3.13,0.00,0.08,0.00,200.00,
01/05/24 23:00,22.52,85.99,7.10,0.00,0.90,0.00,230.00,
01/06/24 0:00,22.91,38.69,3.59,0.00,0.12,0.00,200.00,
01/06/24 1:00,5.91,50.81,3.69,258.82,0.13,2.59,170.00,
01/06/24 2:00,29.03,75.72,8.39,500.00,1.47,5.00,200.00,
01/06/24 3:00,0.98,62.68,3.61,707.11,0.12,7.07,230.00,
01/06/24 4:00,20.87,27.74,1.37,866.03,0.01,8.66,200.00,
01/06/24 5:00,36.90,63.94,7.25,965.93,0.95,9.66,230.00,
01/06/24 6:00,5.09,33.07,5.39,1000.00,0.39,10.00,200.00,
01/06/24 7:00,9.34,55.72,5.56,965.93,0.43,9.66,230.00,
01/06/24 8:00,16.00,57.04,5.37,866.03,0.39,8.66,200.00,
01/06/24 9:00,9.97,81.33,6.46,707.11,0.68,7.07,170.00,
01/06/24 10:00,-0.51,52.37,4.49,500.00,0.23,5.00,200.00,
01/06/24 11:00,15.69,39.56,8.95,258.82,1.79,2.59,230.00,
01/06/24 12:00,4.38,36.17,3.05,0.00,0.07,0.00,200.00,
01/06/24 13:00,19.74,81.20,6.89,0.00,0.82,0.00,230.00,
01/06/24 14:00,5.81,31.97,7.28,0.00,0.97,0.00,200.00,
01/06/24 15:00,30.50,49.81,4.48,0.00,0.22,0.00,230.00,
01/06/24 16:00,7.17,33.10,3.95,0.00,0.15,0.00,200.00,
01/06/24 17:00,11.78,74.13,8.03,0.00,1.30,0.00,230.00,
01/06/24 18:00,23.14,53.21,4.02,0.00,0.16,0.00,200.00,
01/06/24 19:00,2.69,44.58,4.79,0.00,0.27,0.00,230.00,
01/06/24 20:00,17.27,45.28,7.77,0.00,1.17,0.00,200.00,
01/06/24 21:00,28.07,79.65,6.07,0.00,0.56,0.00,170.00,
01/06/24 22:00,-1.07,58.76,2.41,0.00,0.03,0.00,200.00,
01/06/24 23:00,16.85,70.25,9.49,0.00,2.14,0.00,230.00,
01/07/24 0:00,17.60,82.79,4.94,0.00,0.30,0.00,260.00,
01/07/24 1:00,22.82,83.12,5.19,258.82,0.35,2.59,230.00,
01/07/24 2:00,2.63,43.00,6.51,500.00,0.69,5.00,200.00,
01/07/24 3:00,1.80,86.67,7.25,707.11,0.95,7.07,230.00,
01/07/24 4:00,20.22,21.74,9.92,866.03,2.44,8.66,200.00,
01/07/24 5:00,17.97,46.38,2.68,965.93,0.05,9.66,230.00,
01/07/24 6:00,17.50,82.71,7.65,1000.00,1.12,10.00,200.00,
01/07/24 7:00,18.46,39.22,7.49,965.93,1.05,9.66,230.00,
01/07/24 8:00,8.20,39.12,5.73,866.03,0.47,8.66,200.00,
01/07/24 9:00,17.32,41.18,7.57,707.11,1.09,7.07,230.00,
01/07/24 10:00,17.93,62.86,7.87,500.00,1.22,5.00,200.00,
01/07/24 11:00,7.86,50.68,3.24,258.82,0.08,2.59,230.00,
01/07/24 12:00,33.66,70.87,9.50,0.00,2.14,0.00,200.00,
01/07/24 13:00,19.74,82.64,2.88,0.00,0.06,0.00,230.00,
01/07/24 14:00,3.09,67.19,3.73,0.00,0.13,0.00,200.00,
01/07/24 15:00,21.57,34.31,5.48,0.00,0.41,0.00,230.00,
01/07/24 16:00,5.25,85.29,9.85,0.00,2.39,0.00,200.00,
01/07/24 17:00,22.87,38.51,5.38,0.00,0.39,0.00,170.00,
01/07/24 18:00,26.59,30.49,5.94,0.00,0.52,0.00,200.00,
01/07/24 19:00,6.79,26.30,8.86,0.00,1.74,0.00,230.00,
01/07/24 20:00,24.63,59.44,5.40,0.00,0.39,0.00,200.00,
01/07/24 21:00,19.13,27.96,3.64,0.00,0.12,0.00,170.00,
01/07/24 22:00,23.22,29.71,5.17,0.00,0.34,0.00,200.00,
01/07/24 23:00,33.97,41.00,8.74,0.00,1.67,0.00,170.00,
01/08/24 0:00,12.55,39.72,6.14,0.00,0.58,0.00,200.00,
01/08/24 1:00,7.46,62.30,9.86,258.82,2.40,2.59,230.00,
01/08/24 2:00,6.10,77.17,7.48,500.00,1.04,5.00,260.00,
01/08/24 3:00,6.84,73.29,4.71,707.11,0.26,7.07,230.00,
01/08/24 4:00,14.23,38.37,6.10,866.03,0.57,8.66,200.00,
01/08/24 5:00,18.41,37.17,4.29,965.93,0.20,9.66,170.00,
01/08/24 6:00,17.77,87.61,4.66,1000.00,0.25,10.00,200.00,
01/08/24 7:00,23.27,20.58,14.96,965.93,8.37,9.66,170.00,
01/08/24 8:00,15.13,81.58,8.04,866.03,1.30,8.66,200.00,
01/08/24 9:00,29.54,33.98,7.72,707.11,1.15,7.07,170.00,
01/08/24 10:00,12.35,86.31,4.75,500.00,0.27,5.00,200.00,
01/08/24 11:00,42.20,43.96,9.14,258.82,1.91,2.59,230.00,
01/08/24 12:00,21.26,50.82,8.20,0.00,1.38,0.00,200.00,
01/08/24 13:00,6.43,69.50,9.76,0.00,2.33,0.00,170.00,
01/08/24 14:00,4.29,61.14,9.67,0.00,2.26,0.00,200.00,
01/08/24 15:00,19.82,42.26,3.04,0.00,0.07,0.00,170.00,
01/08/24 16:00,12.77,58.77,3.78,0.00,0.14,0.00,140.00,
01/08/24 17:00,22.14,71.15,3.99,0.00,0.16,0.00,170.00,
01/08/24 18:00,19.73,22.96,4.11,0.00,0.17,0.00,200.00,
01/08/24 19:00,14.27,20.78,6.65,0.00,0.73,0.00,230.00,
01/08/24 20:00,6.53,52.06,4.87,0.00,0.29,0.00,200.00,
01/08/24 21:00,-0.15,29.23,10.15,0.00,2.61,0.00,230.00,
01/08/24 22:00,10.53,66.50,9.81,0.00,2.36,0.00,200.00,
01/08/24 23:00,23.56,34.98,5.99,0.00,0.54,0.00,170.00,
01/09/24 0:00,17.14,50.30,9.91,0.00,2.43,0.00,200.00,
01/09/24 1:00,2.54,33.84,8.98,258.82,1.81,2.59,170.00,
01/09/24 2:00,16.73,58.39,5.10,500.00,0.33,5.00,200.00,
01/09/24 3:00,18.85,28.12,1.98,707.11,0.02,7.07,230.00,
01/09/24 4:00,6.16,21.62,5.56,866.03,0.43,8.66,200.00,
01/09/24 5:00,16.54,23.58,4.71,965.93,0.26,9.66,230.00,
01/09/24 6:00,15.58,86.80,6.41,1000.00,0.66,10.00,200.00,
01/09/24 7:00,3.57,29.96,6.18,965.93,0.59,9.66,230.00,
01/09/24 8:00,18.58,69.59,6.13,866.03,0.57,8.66,200.00,
01/09/24 9:00,20.61,24.75,7.05,707.11,0.88,7.07,230.00,
01/09/24 10:00,25.83,27.57,3.57,500.00,0.11,5.00,200.00,
01/09/24 11:00,25.54,55.62,6.82,258.82,0.79,2.59,170.00,
01/09/24 12:00,1.22,52.54,5.12,0.00,0.34,0.00,200.00,
01/09/24 13:00,5.62,86.61,6.40,0.00,0.66,0.00,230.00,
01/09/24 14:00,20.15,86.14,7.91,0.00,1.24,0.00,200.00,
01/09/24 15:00,20.14,74.57,3.55,0.00,0.11,0.00,170.00,
01/09/24 16:00,20.15,62.15,5.44,0.00,0.40,0.00,200.00,
01/09/24 17:00,53.53,51.85,5.76,0.00,0.48,0.00,230.00,
01/09/24 18:00,20.71,44.93,4.97,0.00,0.31,0.00,200.00,
01/09/24 19:00,26.36,86.30,7.80,0.00,1.19,0.00,170.00,
01/09/24 20:00,24.54,62.20,4.56,0.00,0.24,0.00,200.00,
01/09/24 21:00,21.51,60.54,4.89,0.00,0.29,0.00,170.00,
01/09/24 22:00,11.85,36.23,4.58,0.00,0.24,0.00,200.00,
01/09/24 23:00,22.59,23.27,8.18,0.00,1.37,0.00,230.00,
01/10/24 0:00,7.27,86.16,5.02,0.00,0.32,0.00,200.00,
01/10/24 1:00,12.63,41.96,6.92,258.82,0.83,2.59,170.00,
01/10/24 2:00,10.15,50.98,9.95,500.00,2.46,5.00,200.00,
01/10/24 3:00,15.82,28.02,5.85,707.11,0.50,7.07,170.00,
01/10/24 4:00,38.15,78.58,8.22,866.03,1.39,8.66,200.00,
01/10/24 5:00,-3.67,21.93,9.34,965.93,2.04,9.66,170.00,
01/10/24 6:00,21.86,78.38,8.05,1000.00,1.31,10.00,200.00,
01/10/24 7:00,-1.13,29.82,5.97,965.93,0.53,9.66,170.00,
01/10/24 8:00,10.28,82.06,7.28,866.03,0.97,8.66,200.00,
01/10/24 9:00,25.89,71.08,3.43,707.11,0.10,7.07,170.00,
01/10/24 10:00,15.64,31.53,4.44,500.00,0.22,5.00,200.00,
01/10/24 11:00,4.22,59.61,4.79,258.82,0.27,2.59,170.00,
01/10/24 12:00,7.85,41.89,10.48,0.00,2.88,0.00,200.00,
01/10/24 13:00,21.80,32.48,4.37,0.00,0.21,0.00,230.00,
01/10/24 14:00,7.70,80.14,4.35,0.00,0.21,0.00,200.00,
01/10/24 15:00,17.16,48.25,3.91,0.00,0.15,0.00,230.00,
01/10/24 16:00,15.46,47.90,7.12,0.00,0.90,0.00,260.00,
01/10/24 17:00,8.48,31.89,6.29,0.00,0.62,0.00,230.00,
01/10/24 18:00,36.44,46.81,8.17,0.00,1.37,0.00,200.00,
01/10/24 19:00,21.34,81.01,7.34,0.00,0.99,0.00,170.00,
01/10/24 20:00,-5.25,45.42,3.24,0.00,0.08,0.00,200.00,
01/10/24 21:00,16.86,86.61,4.39,0.00,0.21,0.00,230.00,
01/10/24 22:00,8.38,86.24,8.73,0.00,1.66,0.00,200.00,
01/10/24 23:00,23.52,30.14,5.59,0.00,0.44,0.00,230.00,
01/11/24 0:00,7.07,32.41,8.38,0.00,1.47,0.00,200.00,
01/11/24 1:00,13.85,80.39,5.70,258.82,0.46,2.59,230.00,
01/11/24 2:00,20.05,47.49,4.06,500.00,0.17,5.00,200.00,
01/11/24 3:00,23.66,20.31,5.39,707.11,0.39,7.07,170.00,
01/11/24 4:00,3.00,39.17,4.06,866.03,0.17,8.66,200.00,
01/11/24 5:00,11.65,61.83,4.87,965.93,0.29,9.66,170.00,
01/11/24 6:00,10.25,75.95,6.40,1000.00,0.66,10.00,200.00,
01/11/24 7:00,8.47,29.34,7.02,965.93,0.87,9.66,170.00,
01/11/24 8:00,32.65,27.74,2.82,866.03,0.06,8.66,200.00,
01/11/24 9:00,19.05,84.55,5.97,707.11,0.53,7.07,170.00,
01/11/24 10:00,2.39,72.58,4.83,500.00,0.28,5.00,200.00,
01/11/24 11:00,24.18,61.28,4.70,258.82,0.26,2.59,230.00,
01/11/24 12:00,36.22,73.84,6.27,0.00,0.61,0.00,200.00,
01/11/24 13:00,25.32,50.02,4.90,0.00,0.29,0.00,170.00,
01/11/24 14:00,-0.19,73.09,8.76,0.00,1.68,0.00,200.00,
01/11/24 15:00,10.16,46.03,8.38,0.00,1.47,0.00,230.00,
01/11/24 16:00,27.67,37.09,8.36,0.00,1.46,0.00,200.00,
01/11/24 17:00,7.92,71.03,5.01,0.00,0.31,0.00,230.00,
01/11/24 18:00,19.44,49.38,4.08,0.00,0.17,0.00,260.00,
01/11/24 19:00,22.75,88.70,6.16,0.00,0.59,0.00,230.00,
01/11/24 20:00,5.73,44.46,5.70,0.00,0.46,0.00,200.00,
01/11/24 21:00,14.40,84.52,4.78,0.00,0.27,0.00,170.00,
01/11/24 22:00,-17.41,85.31,3.65,0.00,0.12,0.00,200.00,
01/11/24 23:00,4.76,36.93,5.92,0.00,0.52,0.00,230.00,
01/12/24 0:00,12.47,75.88,5.19,0.00,0.35,0.00,200.00,
01/12/24 1:00,2.52,50.32,7.38,258.82,1.00,2.59,170.00,
01/12/24 2:00,31.32,84.23,7.33,500.00,0.98,5.00,200.00,
01/12/24 3:00,0.70,51.51,8.20,707.11,1.38,7.07,170.00,
01/12/24 4:00,10.60,72.10,3.48,866.03,0.11,8.66,200.00,
01/12/24 5:00,16.31,52.69,6.80,965.93,0.79,9.66,230.00,
01/12/24 6:00,29.41,35.95,4.55,1000.00,0.23,10.00,200.00,
01/12/24 7:00,0.64,33.95,3.56,965.93,0.11,9.66,230.00,
01/12/24 8:00,26.63,49.78,5.14,866.03,0.34,8.66,200.00,
01/12/24 9:00,15.10,72.88,8.14,707.11,1.35,7.07,230.00,
01/12/24 10:00,5.18,62.36,5.26,500.00,0.36,5.00,200.00,
01/12/24 11:00,19.62,68.20,9.13,258.82,1.90,2.59,230.00,
01/12/24 12:00,16.99,39.76,7.10,0.00,0.89,0.00,200.00,
01/12/24 13:00,9.00,53.70,5.21,0.00,0.35,0.00,230.00,
01/12/24 14:00,15.70,23.11,8.32,0.00,1.44,0.00,200.00,
01/12/24 15:00,11.15,77.23,6.89,0.00,0.82,0.00,170.00,
01/12/24 16:00,16.14,89.29,4.13,0.00,0.18,0.00,200.00,
01/12/24 17:00,21.62,48.48,9.72,0.00,2.29,0.00,230.00,
01/12/24 18:00,30.86,20.77,6.52,0.00,0.69,0.00,200.00,
01/12/24 19:00,2.62,31.89,6.04,0.00,0.55,0.00,170.00,
01/12/24 20:00,36.33,65.68,4.29,0.00,0.20,0.00,200.00,
01/12/24 21:00,-4.52,62.85,8.36,0.00,1.46,0.00,230.00,
01/12/24 22:00,13.48,75.15,7.03,0.00,0.87,0.00,200.00,
01/12/24 23:00,20.88,37.77,7.26,0.00,0.96,0.00,170.00,
01/13/24 0:00,17.81,73.45,4.98,0.00,0.31,0.00,200.00,
01/13/24 1:00,8.77,68.16,7.67,258.82,1.13,2.59,170.00,
01/13/24 2:00,12.92,42.60,7.82,500.00,1.20,5.00,140.00,
01/13/24 3:00,10.07,58.18,4.66,707.11,0.25,7.07,170.00,
01/13/24 4:00,9.11,30.31,3.17,866.03,0.08,8.66,200.00,
01/13/24 5:00,23.50,51.68,7.16,965.93,0.92,9.66,170.00,
01/13/24 6:00,18.57,81.68,2.85,1000.00,0.06,10.00,200.00,
01/13/24 7:00,8.07,49.48,6.30,965.93,0.63,9.66,230.00,
01/13/24 8:00,24.00,78.77,5.11,866.03,0.33,8.66,200.00,
01/13/24 9:00,18.07,61.32,8.44,707.11,1.50,7.07,170.00,
01/13/24 10:00,23.13,33.43,5.21,500.00,0.35,5.00,200.00,
01/13/24 11:00,21.30,60.68,8.21,258.82,1.39,2.59,170.00,
01/13/24 12:00,6.71,55.42,4.97,0.00,0.31,0.00,200.00,
01/13/24 13:00,9.40,47.90,8.00,0.00,1.28,0.00,230.00,
01/13/24 14:00,22.47,28.37,10.12,0.00,2.59,0.00,260.00,
01/13/24 15:00,21.10,49.17,3.86,0.00,0.14,0.00,230.00,
01/13/24 16:00,14.79,25.09,6.58,0.00,0.71,0.00,200.00,
01/13/24 17:00,16.17,26.91,11.50,0.00,3.80,0.00,170.00,
01/13/24 18:00,27.78,49.11,6.13,0.00,0.58,0.00,200.00,
01/13/24 19:00,9.08,41.38,6.12,0.00,0.57,0.00,230.00,
01/13/24 20:00,20.47,84.79,7.58,0.00,1.09,0.00,200.00,
01/13/24 21:00,12.98,46.30,6.08,0.00,0.56,0.00,170.00,
01/13/24 22:00,12.82,73.05,2.59,0.00,0.04,0.00,200.00,
01/13/24 23:00,25.99,57.12,8.26,0.00,1.41,0.00,170.00,
01/14/24 0:00,23.25,69.29,1.99,0.00,0.02,0.00,200.00,
01/14/24 1:00,23.14,38.21,5.17,258.82,0.34,2.59,230.00,
01/14/24 2:00,28.05,85.93,8.41,500.00,1.49,5.00,200.00,
01/14/24 3:00,15.21,57.11,5.29,707.11,0.37,7.07,230.00,
01/14/24 4:00,21.82,78.19,4.61,866.03,0.25,8.66,200.00,
01/14/24 5:00,11.90,45.55,7.76,965.93,1.17,9.66,230.00,
01/14/24 6:00,18.24,27.01,4.30,1000.00,0.20,10.00,200.00,
01/14/24 7:00,13.70,67.16,3.56,965.93,0.11,9.66,170.00,
01/14/24 8:00,15.97,20.54,6.55,866.03,0.70,8.66,200.00,
01/14/24 9:00,20.95,53.27,5.63,707.11,0.45,7.07,170.00,
01/14/24 10:00,6.82,33.50,3.51,500.00,0.11,5.00,200.00,
01/14/24 11:00,35.92,63.92,7.27,258.82,0.96,2.59,230.00,
01/14/24 12:00,4.94,88.56,6.93,0.00,0.83,0.00,200.00,
01/14/24 13:00,2.86,52.51,5.28,0.00,0.37,0.00,230.00,
01/14/24 14:00,26.58,77.22,5.42,0.00,0.40,0.00,200.00,
01/14/24 15:00,22.92,55.54,6.94,0.00,0.84,0.00,230.00,
01/14/24 16:00,21.24,54.71,8.38,0.00,1.47,0.00,260.00,
01/14/24 17:00,21.28,85.13,5.43,0.00,0.40,0.00,230.00,
01/14/24 18:00,14.88,82.30,7.31,0.00,0.98,0.00,200.00,
01/14/24 19:00,6.03,75.01,7.13,0.00,0.91,0.00,170.00,
01/14/24 20:00,15.76,40.74,7.76,0.00,1.17,0.00,200.00,
01/14/24 21:00,8.23,58.15,6.08,0.00,0.56,0.00,170.00,
01/14/24 22:00,24.75,35.67,4.18,0.00,0.18,0.00,200.00,
01/14/24 23:00,13.53,51.07,5.08,0.00,0.33,0.00,230.00,
01/15/24 0:00,6.75,53.89,6.69,0.00,0.75,0.00,200.00,
01/15/24 1:00,11.79,78.21,9.64,258.82,2.24,2.59,230.00,
01/15/24 2:00,19.13,82.72,5.03,500.00,0.32,5.00,200.00,
01/15/24 3:00,9.36,49.02,7.61,707.11,1.10,7.07,230.00,
01/15/24 4:00,6.78,21.24,5.34,866.03,0.38,8.66,200.00,
01/15/24 5:00,17.44,80.32,6.22,965.93,0.60,9.66,170.00,
01/15/24 6:00,17.45,32.20,9.03,1000.00,1.84,10.00,200.00,
01/15/24 7:00,9.93,63.53,7.53,965.93,1.07,9.66,230.00,
01/15/24 8:00,10.29,21.75,3.52,866.03,0.11,8.66,200.00,
01/15/24 9:00,17.32,47.97,4.86,707.11,0.29,7.07,230.00,
01/15/24 10:00,0.52,89.02,8.51,500.00,1.54,5.00,200.00,
01/15/24 11:00,0.93,27.05,6.28,258.82,0.62,2.59,230.00,
01/15/24 12:00,7.82,49.66,3.70,0.00,0.13,0.00,200.00,
01/15/24 13:00,12.87,41.50,4.36,0.00,0.21,0.00,230.00,
01/15/24 14:00,18.11,83.36,7.41,0.00,1.02,0.00,200.00,
01/15/24 15:00,29.75,80.85,7.99,0.00,1.27,0.00,230.00,
01/15/24 16:00,23.58,36.64,6.04,0.00,0.55,0.00,200.00,
01/15/24 17:00,13.40,25.68,10.95,0.00,3.28,0.00,230.00,
